content,score
"Buruan aktifkan pintu pakai referal ğŸ‘‰ @cakyono85 Langsung dapatkan bonus anda,,,",5
Manatap,4
Josss apknya... gasssss brooo,5
"Apk pintu,mudah di pahami buat pemula seperti saya,terimakasih pintu...semoga kedepannya bisa menjadi apk yg lebih baik lagi ğŸ™",5
"Tak banyak komentar, T O P. Jangan lupa klo daftar ini referalnya, TRACH458 pasti dapat bonus dari PINTU.",5
Solusi no hpe yg sudah tidak aktif dong email kga di bales bales.,5
Tolong lah penarikan ke rekening knpa ga masuk2 biasanya cpt .. cs ga ada yg respon di chat jg .. perbaiki dlu layanan baru bintang 5 lg,1
Nice,5
Apk teraman dan terpercaya.. kerja simpel auto Sultan...,5
"mantap aplikasinya pencairan cepat rekomendasi cuman harus pandai melihat peluang investasi nya jos....,ğŸ‘‰ğŸ‘ŒğŸ’ªğŸ˜ğŸ˜",5
"makase pintu so kase blajar pa torang, untuk kedepannya lebih baik lagi dan juga daftar mata uang crypto bisa di tambah lagiğŸ™ğŸ‘ğŸ‘ğŸ‘",5
Mantap â­â­â­â­â­,5
Asli banyak bonusnya,5
Thanks udah kasih koin PTU ya Dev ğŸ˜ğŸ˜,5
Mantap... Gooood,5
Ok,3
"Aplikasi Mantap Buat Investor Crypto Pemula, Yang Belum Download Wajib Banget DownloadğŸ˜",5
Suka banget sama pintu,5
kenapa lama banget sih proses WD nya? aduhh,2
Easy to use for keep a money,5
"aplikasi ribet, buka lemot, masuk susah, google authenticator invalid terus gimana sih lu bro, sebenernya bisa buat aplikasi gak sih, anjiirrr buang buang waktu bgsat",1
"Kok saya mau log Dgn email sdh bener dan sandi pun uda bener tapi, gilaran uda masukin OTP malah di suruh nnggu 2 jam??? Woii itu cuma konfirmasi j loh kok lama bener... Terus tiap minta kode OTP bru tetap gt heran???!!!",1
Bikin mudah,5
Mantapp,4
Di grup lagi rame reward PTU kenapa saya tidak dapat? Harus rata dong,1
Mantap,5
Saya coba,5
sebenarnya bagus tapi yg kita mau bukan imbalan reward2.tapi perbanyak pilihan koin dan yg belum ada di market idx/tokcryp.pasti sy akan pindahkan asset sy ke pintu semua!!!!terimakasih dan jadilah ciri khas pembeda untuk munculkan koin baru,3
"buat kalian akun nya bermasalah hati2 ,csnya selow respond",1
Muda mudahan aman,5
Wah bagus ne aplikasi rekomendasi... Ayo bergabung !!! Referal saya @argame27,5
. Als,3
Cs nya sangat slow respon dan tidak ramah sekaliğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,1
Ajg.grub gue pada dapet PTU..gua 3akun gak dapet ngehe.ganti aja pak nya ..jadi PINTU W.C UMUM,1
Cara mudah berinvestasi... terima kasih,5
Maaf saya kasih bintang 1 karena btc saya ko masih kosongğŸ™ğŸ™ğŸ™,1
Mantep,5
Mantap,5
Very Good,5
Mohon untuk aset crypto nya di tamban lagi donk min,4
Mantap ini aplikasi..cuan terus menerus,5
Tidak Ada Balasan Sama Sekali Sudah MengirimKan Pesan Beberapa Kali.. SATU KALI LAGI TOLONG DI BANTU. nomor saya sudah tidak aktif dan saya tidak bisa login ini bagaimna...TOLONG DI BANTU.,1
ğŸ’¯,5
Mantap PTU coin,5
pintu memudahkan wong cilik belajar investasi crypto. josss,5
milik indonesia.,5
"Aplikasi, investasi terkeren. Buruan yg blm download, di jamin gk bkaln me'nyesal. Barangkali ada yg mau Msukin kode Sya. @mishugii.",5
Suka,5
Bagus,5
Banyak event top pintu,5
Good platform... For anyone,5
Mksh pintu terbaik,5
Pintu di jamin legal,5
BERHARAP CEPAT LISTING KOIN KOIN MICIN THANKS,5
Mantap,5
Luar biasa aplikasi iniğŸ‘,5
Pintu memang mantaaaaaaap,5
Penggunaan lama kenapa gak di kasih pintu gratis min,2
Wow dapet airdrop ptu,5
Mantaappp,5
lain kali jangan mentenent yaa,5
Sangat kecewa Karana yang lain dapat saldo pintu gartis dan aku tidak dapat,1
"Sangat rekomendasi aplikasi pintu,,mantapppp saya puas sekali download aplikasi pintu",5
Mantap,5
aplikasi of the year..ğŸ‰ğŸ‰ğŸ‰,5
Kode GAuth hilang ğŸ—¿ğŸ—¿ğŸ—¿ ribet kirim email @helpPintuID Impossible!,1
Makasih PTU sudah memfasilitasi kami didunia perdagangan internasional,5
Good,5
"Lebih simple dan mudah ,fee nya jg kecil Makasih pintu",5
Dikasih 1 token ptu makasih wkwkw,4
Seneng banget pintu ngasih event terus moga di banyakin promo event nya,5
Mantap Pintu,5
"Terbaik , bakal jadi jagoan ku nih",5
Semoga PTU nya meluncur naik,5
"Loading banget ya ni apk, gak niat buat di perbaiki gitu trs gk lengkap lagi.",3
Aplikasi PHP katanya nanti tgl 25 semua yg daftar sebelum tgl 21 bakalan dapet 1 PTU kok aku gk dapet ya.. ini gmana min???,5
Good,5
Mantap,5
Alhamdulillah lancar,5
Lanjutkan terus karya mu Apk Pintu,5
MNTAPP,5
ğŸ‘ğŸ‘ğŸ‘,4
Semoga semakin terus berkembang,5
Sejak di update kemaren jadi sering logout minta koda pin terus. Mohon diperbaiki,2
Penipuan,1
Mantap,5
Mantap,5
Mantap dapat 1 token PTU,5
Jooozzzzzz.... Kereeeeennn.... Semoga selalu berjaya...ada bonus ny loch...,5
Investasi paling baik..banyak hadiah,5
GG geming,5
"Cukup lama menggunakan aplikasi ini,,dan rekomendasi bgt buat pemula krna aplikasinya mudah d pahami dan ga ribetğŸ˜‰gunakan aja my refral @xvogamiing663 langsung dapat bonus hingga 1jt anğŸ‘",5
Buset pake otp sekarang mana nomor hpnya udah lama ilang,3
Untuk koin PTU yang baru di rilis itu ada pembagian hasil keuntungan maksudnya gimana ya?,5
"Suka banget sama ini aplikasi,mudah dipahami,simple dan tiba"" dikasih kejutan pagi hari ğŸ˜ dikasih 1PTU .terimakasih PintuğŸ™",5
Ok,5
sangat sangat memuaskan,5
Sistem kerjanya bagus Lebih ditingkatkan lagi,5
Good,5
Awalnya gw bangga punya exchanger anak bangsa tapi setelah gw lihat2 dan coba trading kok kaya main2 yach...harga limit atas bawah gak ada....tolong di perbaiki dan kiriman BNB kawan saya sampai sekarang sudah 6 hari belum nongol di pintu padahal transaksi sudah conform dan suksess CS nya juga gak ada respon. Gw sebenarnya bangga sama aplikasi pintu cuma jangan malu2in kedepannya bakal banyak yg menggunakan....maju terus PINTu,4
"Tolong pintu tambahkan fitur staking crypto axs, karena bunganya sangat tinggi, jangan seperti marketplace t**v, bilangnya gratis biaya staking tau""nya ambil keuntungan 10% dari bunga aslinya, bunga staking asli adalah 113% tetapi di marketplacenya hanya 103%. Saya kasih bintang 5 supaya di notice.",5
Mantap dapet bitcoin gratis,5
"mau tanya kenapa ya dari tgl 26 nvember setiap mau login harus pakai kode otp terus...nggak bisa login otomatis ,,biasanya login cuma pakai pin saja,,mohon bantuannya",3
Oke,5
Pakai kode referal ini yu kita sukses bersama @orangsukses,5
Cukup untuk saya,5
"Bisnis jual beli aset paling mudah dan menjanjikan keuntungan , Aplilasi ini sangat cocok untuk menambah penghasilan disaat pandemi dan kapansaja, karena bisa dikerjakan dirumah atau dimanasaja,",5
"Akun ku verified, tk kasih *5",5
"Aplikasinya mudah dipahami , good pintu @syaifulb1975",5
Mantaap,4
Woke,4
Top,5
"Sangat membatu bagi trader PemulağŸ˜, Thankyou PTU",5
Top,5
Aplikasi yang simpel,5
Sudah lama dan sudah berkali2 gagal terus deposit dr pintu ke binance. Ujungnya ditarik lagi ke rekening bank. Buang2 fee transfer doang!!,1
Mantap lahh pokoknya,5
Puas,4
ğŸ˜ğŸ‘,5
the best spot scalping trading ever ğŸ˜ƒ,5
bagus aplikasinya,5
Mantap,5
Good,4
"aplikasi parah, ga bisa setting harga jual dan beli seperti aplikasi serupa, harga ditentukan aplikasi, parah",1
tambah fitur QRIS pasti makin joss,4
Ok,5
Pake kode ini untuk dapatkan 0.04% @nasigoreng,5
Kasih bintang 5,5
nanti akan aq tambah bintang nya,3
Masih coba coba semoga bagus dampakx.,5
"Kalau profit susah ditarik,giliran CL mudah, sangat merugikan trader",5
"Makin ke sini ko sulit buat jual beli selalu terkendala ""harga telah berubah masukan ulang nominal anda""",1
Mantap Semua terus berkembang dengan inovasi terbaru..,5
Aplikasi nya sangat bagus dan simpel,5
Aplikasinya bagus baget!!!!!!!!!!!!!!!!!!!!!!!! Masukan Kode@kodemenarik untuk mendapatkan keuntungan lebihâœ¨,5
"Kirim BNB dari pintu apps kepada BNB Trust wallet, Fee nya sampe 45k, Sangat beda jauh dengan aplikasi sebelah yang lebih murah. ğŸ‘ğŸ‘ğŸ‘",1
"Selisih harga tengah, esetimasi harga dan harga final selisihnya jauh bgt,, misalnya beli bitcoin yang harga tengahnya 789jt esetimasi harga berubah jadi 791jt terus harga finalnya berubah jadi 794jt, jauh bgt selisihnya",2
Mantab bos,5
"token baru aja rilis uda buat hancur wkwk Dasar token lokal token abal"" ğŸ˜‚",1
Bagus dan sangat mudah,4
kecewa dengan PTU yang lounching tapi harga buruk harusnya karena baru lounching ada promo atau harga meroket ini malah harga longsor sampe bawah,1
"Kalau ada yang membutuhkan bantuan langsung di tanggapi,jangan setengah setengah,nomor sudah tidak aktif ingin ganti harus banyak persyaratan,pas persyaratan sudah di penuhi sudah di kirim tidak ada balasan,gimana bisa masuk lagi ke akun PINTU!!!Sampai sekarang hasilnya nihil kalau tetap tidak bisa masuk ke akun terpaksa hapus Aplikasinya dan pindah ke TokoCrypto.",1
Banyak dikembangkan lagi dan koin/ token diperbanyak,5
Sudah terverfikasi... udah bisa transaksi Koq minta verfikasi lagi.... hhm jadi bingungğŸ˜‡ğŸ˜‡ğŸ˜‡,3
Mudah mudahan menjadi berkah untuk sememua penggunanya aamiiin...,5
Saya sangan rekomendasikan aplikasi pintu.. semua sistem sangat mudah pokok nya mantaaaaaaaaaaaaaaaaaaappppp,5
Aku baru aku kasi tiga bintang,3
"Apa""an token sendiri langsung ngedrop nyangkut smua . Nyesel join di PINTU . launching token sendiri paling akhir pas harga dah naik baru bisa beli",1
Segini dulu,3
"fee kirim cryptonya mahal, chat supportnya tidak tanggap, nyeselah intinya",1
uksmk2,5
Coin sesat,1
Mantap,5
Nice,5
Koin sampah!,1
Good,5
Hemm token ptu drastis turun kok listing di aplikasi sebelah duluan,1
Sangat puas menggunakan aplikasi pintu,5
Sering eror,3
"Terkadang masih terdapat bug, sehingga transaksi jual/beli tidak lancar, dan proses penarikan dana ke rekening sering terjadi masalah.",1
Aplikasi ini sangat bagus dan mudah di gunakan untuk para pemula dan kita tinggal beli coin yang kita inginkan dengan cepat metode pembayaran pun sangat sederhana di bank besar untuk keamanan sangat canggih dengan teknologi privat key dan aman sudah terawasi oleh Ojk dan kominfo.,5
Mantullll,5
"App nya mantap mudah di pahami bagi pemula seperti saya,,dan lebih kerennya lagi ad crypto baru yang mana namanya PTU ,,pokonya jos jos",5
Ok,5
Good,5
Salam cuan sahabat,5
Oke,5
Gud,5
Oke,5
Menurut saya kurang pas dalam penjualan nya,4
"Cok gblg amat penarikan di permasalahkan , awal awal bisa ko . lah sekarang malah beda nama . beda penempatan doang . mana saya bank BCA dia bilang bank mandiri syariah . LAWAK",1
Bagusssssssssssss,5
ğŸ‘,5
Aplikasinya gampang. Banyakin promo ajaa..,5
ok token indo yang gw nanti dah sampe,5
Blum bisa tarik ke akun dana atau ovo klo sdh bisa ksi bintang 5,3
Saya mau mengajukan permohonan penggantian nomor hp karena nomor hp di akun saya . Sama nomor hp di ewallet saya berbeda. Proses nya ribet sekali. Harusnya dipermudah,1
"Mikir seribu kali invest disini, ditanya asal usul acuan harga nya gak dijawab,,",1
mantap,5
Bermanfaat bgttttt,5
Sudah bisa verifikasi..terima kasih,5
App nya bagus dan mantap buat pemula,5
"Semoga kedepannya lebih bagus,karna saya akan pakai aplikasi ini dalam jangka yg panjang/lama",5
Untung...,5
OTP Tidak pernah Dikirim -_- ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜ ğŸ˜ ,2
"Sukses untuk semua, sehat selalu... biar selalu cuan cuan.... cuan",5
Mudah mudahan amanah,5
Wah ini mantab gan bagi pemula transaksi sangat mudah transfer trading oke segera instal pakai referal @sukemi1107264,5
Akurat dan terpercaya,4
4 star dlu. Klo sdh dpt 1 milyar tmbh 5 star ğŸŒŸ ğŸ˜ğŸ˜,4
Aplikasinya mudah dipakai dan banyak menunya. Bisa pakai referal @pakaipintu untuk dapat bonusnya.,5
"ngetik pin nya agak ngelag jadi harus 2x ketik, nggak kaya ovo tektektektek",5
"Apk nya bagus ,mudah di pelajari dan semoga bisa investasi dengan baik dari aplikasi ini ,.",5
Pintu semakin di depan..,5
Dapat bonus pakai kode reff [ @flix ] ini biar masuk,4
"Ga ribet, mantap dh",5
Tolong beberapa bug diperbaiki,1
Sementara masih nyaman untuk pengguna baru kayak saya,5
"Gak bisa order buy/ sell dengan angka yang kita patok, gak cocok buat trading, cocoknya buat investasi",2
Klo koin lagi naik susah dijual,1
Aplikasi bintang 5 ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,5
Apps yg friendly,5
Versi baru grafik malah susah dibaca lebih enak dibaca dan dimengerti versi lamanya.... ribet â˜¹ï¸,1
mantap,5
Sangat membantu kondisi uang saya.,5
Good,5
Mantap,5
"Aplikasi bagus, mudah-mudahan koinnya bertambah banyak",5
Mantap.!!!,5
Good,5
Pintu aplikasi legal,5
sukses selalu pintu.idğŸ‰ğŸ‰ğŸ‰,5
Baguss,5
pintu yang terbaik dah pokoknya...ğŸ˜ŠğŸ˜€ğŸ˜,5
"Aplikasi bagus, sangat mudah d gunakan.. Mudah""an ada rezekinya",5
Kode referral biar sama sama dapet bonus @firdausthoriq,5
Good forefer,5
Lemot,5
Bintang 5 kalo ada limit order sma wd ewalet,3
"Bagus ini,banyak ilmu baru",5
Bagussasa bangetttt,5
"Pintu sangat membantu banget,karna aplikasinya mudah bgt buat pemula kayak aku.....trimakasih",5
Harga beli dan jual tidak sesuai jauh melampaui pasar harga,1
Wah oke banget lah,5
Mantap,5
"Keren aplikasi ini, proses mudah dan cepat",5
Mantap,5
Good yaw,5
5 star,5
Saya suka ini,5
"Serba lama, ga kaya apk crypto lain.Customer service nya juga kurang, ga recommend deh ni apk.",1
Aplikasi pintu memang baik,5
Good,5
Tolong ya aplikasiny diperbaiki ini lemot banget,1
mantaaaP,5
Mantap List Coinnya banyakin dong,5
telat serok ptu gara2 GK ada notif,1
"Token PTU di jual udah mahal mau beli eror,udah kebeli anjlok gua kasih bitang 1",1
Mantap dech..... Punya modal mau depo lgi yg gede hehe,5
Aplikasi sering keluar sendiri,3
"Gampang buat pemula,fee wd paling murah,,top lah pintuğŸ˜",5
Ngeri harga ptuğŸ¤£ udah pemula rugi lagiğŸ¥ºğŸ¤£,1
"buat token,cuma ambil keuntungan sendiri doang,komunitasnya mewek",1
Hallo pintu... kenapa deposit saya gak masuk... tolong yah... di chat juga gak ada balasan... tolong di baca ini,5
"Apk sampah. Tidak mempriotaskan pemakenya sendiri, padaha ada yg sudah dr lama , kecewa tokennya malah rilis di tempat lain. Di pintu sendiri waktu harga sudah tinggi baru ada PTU . Kecewa sih malah nyangkut pulak",1
Baik,2
fitur selfie benerin biar bisa focus masa ga support focus nya,5
@bayumadona,5
Mantap bnerrrrrr,5
"Kemarin katanya jika PTU token sudah listing, setiap user yg berhasil kyc akan mendapatkan token tersebut, kok ini blm ada dapat ?? Padahal saya pengguna lama",4
"Sengaja bintangnya saya turunin ya, sbb pintunya makin mengecewakan.",1
Aplikasi jelekkk sering eror.. maintanance melulu.. tradingnya jga mahal beli sudah naik kemudian wktu akan dikonfirmasi naik lgi.. Auto kena 2 kali.. parahhhhh.... bnyk korupsinya...,1
"Anu koneksi putus harusnya jangan login kode terus, kemudian juga untuk deposit ke bni yang terkendala pada tadi malam bukti transfer sudah di kirim mohon infonya",5
Pintu mantab,5
"Nyesel make ni apk, udh deposit 500k tpi gamasuk, galagi lagi dah kecewa !!, Hati hati buat para pemula yaaa",1
"Launching ptu yg tdk di siapkan oleh pintu, ujung2nya merugikan byk org, ngeLag terus, knp gak sejak awal listing di pintu juga ? Apa yg di takutkan ?",1
Tolong di naekin lgi token ptu ak rugi gede nih plisss,1
good luck,5
"ORANG COMPLAIN ITU LANGSUNG DI SELESAIKAN, DEPOSIT 3 JAM BELOM MASUK2,DI CHAT MALAH SURU NUNGGU 1X24 JAM, GA COCOK BUAT INVEST,LEMOOOOT.",1
Di tuunggu coin PTU gratis min,5
Sedih cok . Token pintu naiik pas gua beli turun besar .. mengecewakan hihihihi,3
Jangan lupa pakai kode refferal : fathul,5
"Lama sekali deposit nya, mau transaksi jadi terhambat tolong ditingkatkan lagi sistem nya baru saya akan menaikan bintang!",2
Kerren,5
"Njir kocak exchanger macam apa kayak gini gak bisa liat aktivitas market, gak bisa liat limite order buy/sell gak ada pilihan pasang harga limite buat beli/jual se jelek"" nya market lokal indodax sama TKO masih parahan ini fitur nya untung belom daftar baru buka apk nya aja udah bikin ngakak.",1
"Aplikasi pintu ngeluarin token ptu. Tp ko listing dluan di market lain? Harganyapun pas di aplikasi pintu udah mahal, heran",2
Aplikasi yang bagus dan sangat update. Untuk pengembangan selanjutnya semoga lebih baik lagi. Salam hangat indonesia,5
Semoga bermanfaat dan berkah,5
"Deposit ga masuk sedamgkan saldo saya sudah berkurang,harus hati"" kalian semua",1
"Bagus & gak ribet aplikasinya. Cuma saran saya tolong di tambahkan lagi jenis crypto lainnya & alat bantu untuk bisa menganalisa pergerakan harga setiap koin. Oh iya, terimakasih jg sudah menghadirkan Pintu Token d aplikasinya. Semoga kedepan Pintu & penggemar setia aplikasi pintu meraih sukses bersama. PT. PINTU KEMANA SAJA. Kemana saja bisa sukses asal lewat pintu, hehe..",5
CS nya LEMOT,1
Oke,5
"Makin hari makin lambat nih aplikasi ya, deposit dari tadi sampai skrg blm masuk, payah",1
"sangat mudah bertransaksi,untuk kekurangannya tolong ditambahkan untuk rekening BCA supaya mempermudah untuk transaksi depo dan penarikan,tolong untuk di perhatikan dari pihak pintu thank...",5
"Sangat simple,mudah digunakan",5
Akun saya gk bisa d verifikasi...gmn caranya,1
Mantap,5
App lawak list koin sendiri usernya di anak tirikan liat aja pintu bakal bnyak yg kecewa lo liat aja di sosmed ig lo pintu udah rame ngehujat,1
Admin nya anjg,1
"Agak kecewa dengan ketidaksiapan dalam menahan lonjakan pengguna, ngeluarin tokennya aja tapi belinya cuman bisa di tempat lain",2
Mudahan biss,5
"Buat apa bikin market PTU,KLO GX BISA DIBELI...",1
"Nyesel pake ini,dlu dluan mau beli pintu eror terus...alhasil harganya udah naik Parah baru bisa beli...parahhh,tau gini ga pake pintu",1
Apk gk jelas lu. Launching token bilang jam set8 taunya jam 7 udh di listing,1
Sangat kecewa sekali dengan pelayanan pintu. Pas token PTU keluar malah gak bisa di beli. Aku hapus aja,1
"Anjg gak adil banget coin lokal tapi lebih mentingin listing di luar dari pada aplikasinya sendiri, kecewa sama pintu",1
"Aplikasi yang bikin sakit hati, mending pake Binance deh ke mana-mana... Jauh bro bedanya....",1
Pinter bet lu,1
"Apk ampas,",1
"Listing d tempat lain ğŸ™ƒ, gw tf bnb ke pintu gak masuk masuk admin susah d hubungin juga hati2 yg mau deposit lewat crypto",1
Kaga bisa dibeli coin pintu ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ kecewa kami,1
Ada error saat realese toke PTU,3
"Payah, tokennya sendiri listingnya di exchane lain Dulu, para pengguna pintu mau di kasih harga atas?",1
GA NGOTAK HARGA PTU LISTING LANGSUNG 26K KATANYA GA ADA MAINTENANCE TAPI MAINTENANCE!!!! PTU SCAM!!!!!!,1
"Payah, koin nya koin pintu tpi listingnya di exchange lain, cibaduyut",1
Error,1
Sangat Membantu,3
Bagus...bermaanfaat,5
Top aja,4
"Bug parah, grafik turun sampe ribuan persen",1
Semoga bermanfaat,4
"Lemot parah, nominal angkanya gk gerak agresif alhasil gk tepat sasaran ketika beli dan jual...apk investasi model apaan kaya gini...buruk sangat ğŸ‘...",1
"aplikasi yg simple. tampilan menu lengkap dan mudah dipahami.. Yang paling penting proses penarikan dana sangat cepat, tidak sampai 5 menit sudah masuk rekening. Yg mau download bisa pake kode referral : ""@anjbyan"" ya..biar saling menguntungkan..ğŸ˜ŠğŸ˜Š",5
"Buat versi web bang, biar bisa pantau lewat pc ğŸ˜‡, masukin referal @fjrx2000431 biar dapet chasback",5
"Cpet, aman, dan mudah",5
Good,5
Joss gandos,5
tks,5
Simple,5
"Good apss lah meskipun spreadnya gede tapi tetep cuan, tengsss pintu lup bgtğŸ˜ğŸ˜",5
Kenapa BNB saya tidak masuk saya telah mengirim BNB ke PINTU Chat suport tidak ada jawaban,5
Yuk yang belom kita saling gunakan kode reff biar dapet keuntungan 0.004 % setiap transaksi. Daftar sekarang dan pake kode reff saya dijamin mantul Ini kodenya @gitgitmiko Makasihhh,5
Blm coba,5
Nice exchange ğŸ‰,5
Josss,5
"Referral : @rizkhon13 Yang mau pake referral saya, saya doakan dpt cuan Mantap aplikasi nya. Tampilan joss enak buat pemula.",5
"Pintu memang apk simple, sederhana, sebodohnya orang kalau sudah pakai apk ini dia pasti akan mengerti juga.",5
Mudah menggunakan aplikasinya,5
"Ada kendala log in kmbali, kirim pesan minta bantuan k Gmail help@pintu ga di bales, di ig pun sama ga di balas",2
"yang baru download wajib pake refferal gua nih ""faridzart"" ,langsung dapet bonus saldoğŸ”¥ğŸ”¥ aku untung kamu juga untung ,gasss",5
Knpa setiap mau fto ktp sma selfi gak bisa? Udah pake sim sma ktp tunggu bebrapa saat lagi,3
Bagus sekarang jaringan nya ga MT,5
Apk lemot,1
"Rekomended buat pemula , cocok untuk pasif investing, dapatkan bonus dgn menggunakan referral : @radenramaap",5
Bagus,5
"Gokil kak jual koin kena pajak, binance dan pak CZ tertawa melihat ini :v",3
Ayo token pintu segera hadi download jangan sampai ketinggalan,5
mudah mudahan developer dan kru aplikasi ini mendapatkan berkah ...,5
"Mantab nih , gampang baca nya .. tingaktin terus ya .. banyakin. Uang cryptonya .. ğŸ‘ğŸ’ª",5
"Mau deposit aja susah dah lebih dari 10x gak bisa juga deposit, gimana mau gunain aplikasi nya, hm",2
Join di pintu 2020 smp skr Nga nyesel update selalu mantap sudah mulai banyak coin yg listing jadi lebih gampang buat jual beli n trading Tinggal nunggu tokenya PTU buat di borong....ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸš€ğŸš€ğŸš€,5
Mantab event pintu menjanjikan lanjutkan,5
"Agak lag sana sini tolong upgrade lebih ringan lag pas di dalam menu GK enak bener, dan tolong tambahin koin koin lainnya kalo bisa yg metaverse an",5
Iya yang itu yang susah gak susah lah,5
Saya saranin buat ada koin koin micin biar lebih enak lagi,5
"Di tambahi indikator, serta jangka trading di tambah 1 menit 5 menit 30 menitan, tambahi koin micin juga",2
Mantap,5
Aplikasi bagus. Masukan kode referral untuk mendapatkan komisi (@anjay),5
Nice,5
"Mantap, terpercaya dan sangat cepat dalam jual belinya. Recomended dan jangan lupa untuk yg baru gabung masukin referal saya @asepddr",5
Tolong dikurangi ya fee 2â„… nya,3
Saya pakai akun anak saya mau donlot aplikasi pintu gak masuk.masuk gimana caranya,1
Kenyamanan hotel bintang lima...pintu memang berkelas....Oya..saya lupa memasukan kode undangan..bgaimana caranya memasukan kode undangan dari teman..?.,5
"Buat pemula oke lah.. Jual/Beli mudah buat transaksi, Good.. Pertahankan seperti ini pintu..",5
Nice,5
Kok gk bisa di instal,1
Mantap mau coba dulu,5
Kren,5
"Saya mau tanya, di pintu ada mode gelapnya atau tidak?",5
ğŸ‘,5
Indikator nya tambah lagi bos. kalo bisa buatin opsi jual otomatis,3
pakai kode referal ini @bobdaay auto profit,5
Bisa narik dana cepat,5
ok,5
"Nyesel kemaren ngasuh 5 bintang!! Gua turunin lagi 1 bintang .. karena saldo deposit saya blom masuk , awal kami akan peroses 1x24jm Al hasill sudah 1 hari ehh malah di tambah jadi 2x24jm .. sekiranya saldo saya ga di masukin mending balikin saldo deposit saya ke rek pengirim tadi.. tolong perbaiki kendala ini ..",1
Bagus,5
Pilih pilih mau beresin event juga ya... Gw udh top up buat beresin event trading 1 lgi dari tgl 18 sedang kan habis event tgl 21 kenapa ga dpt sedangkan di grup fb mereka beli akun yg ga kepake sampe puluhan itu dpt semua... Heran sama aplikasi satu ini,1
Gampang digunakan oleh pemula seperti saya. Tidak ada biaya transaksi dan informasi yang disajikan cukup jadi referensi.,5
Mantaaaap pokonya....,5
"Mohon maaf, kepada semuanya. Saya pengguna baru di aplikasi ini, saya beri bintang 5 sebenarnya saya menyukai aplikasi ini, hanya saja, saya bingung cara menggunakan aplikasi ini, mohon bantuan infonya tentang penggunaan aplikasi ini. Mumpung saya orang awam yg gak tau menggunakan aplikasi ini.",5
kenapa saya mau masuk ke pintu trs keluar lagi...tolong di cek akun saya.,5
"Harusny bisa akses lewat website juga lah, lewat apk kurang greget",3
Juooooosssss,5
Sangat bagus semoga berkah,5
Mantap,5
Ganteng,5
saya kasih bintang lima..mudah mudahn saya bisa dalam trading emas.amiiiin,5
Good,5
trmkasih pintu...rekomend pokoknya,5
Buruk,1
Sekarang aplikasi nya lemot bner2 apa lagi mau jual atau beli harga berubah2 trus sehingga susah finally,1
Komisi seumur hidup dari referal mantap semangat mengajak teman terima kasih,5
Good,5
Engga ada radio caca nya kalo bisa lebih kumplit lagi tq ğŸ™,4